sender_account,receiver_account,transaction_amount,timestamp,is_fraud
N_000020,M_EXT_000281,2000.0,2023-01-01 00:00:00,1
M_DOR_000050,N_001965,274.05,2023-01-01 00:00:00,1
M_DOR_000058,N_001950,501.55,2023-01-01 00:00:00,1
N_000032,M_REC_000157,58.03,2023-01-01 00:00:00,1
N_001490,N_000456,1048.58,2023-01-01 00:00:00,0
N_000034,M_EXT_000519,461.18,2023-01-01 00:00:00,1
N_000032,M_EXT_000227,100.0,2023-01-01 00:00:00,1
N_000024,M_EXT_000319,825.03,2023-01-01 00:00:00,1
N_000039,M_EXT_000260,489.84,2023-01-01 00:00:00,1
N_000038,M_EXT_000182,820.5,2023-01-01 00:00:00,1
N_000027,M_EXT_000421,2000.0,2023-01-01 00:00:00,1
N_000037,M_EXT_000036,856.66,2023-01-01 00:00:00,1
N_000046,M_EXT_000166,1000.3,2023-01-01 00:00:00,1
N_000046,M_EXT_000069,126.27,2023-01-01 00:00:00,1
N_000011,M_EXT_000158,282.93,2023-01-01 00:00:00,1
N_000007,M_EXT_000070,1359.75,2023-01-01 00:00:00,1
N_000011,M_EXT_000460,164.95,2023-01-01 00:00:00,1
N_000032,M_EXT_000533,2000.0,2023-01-01 00:00:00,1
N_001535,N_000625,496.55,2023-01-01 00:00:00,0
N_000045,M_EXT_000119,101.23,2023-01-01 00:00:00,1
N_000044,M_EXT_000450,157.33,2023-01-01 00:00:00,1
N_000011,M_EXT_000575,103.97,2023-01-01 00:00:00,1
N_000043,M_EXT_000252,449.63,2023-01-01 00:00:00,1
N_000030,M_EXT_000073,457.07,2023-01-01 00:00:00,1
N_000642,N_000646,239.7,2023-01-01 00:00:00,0
N_000013,M_EXT_000525,2000.0,2023-01-01 00:00:00,1
N_001262,N_000219,516.91,2023-01-01 00:00:00,0
M_DOR_000368,N_001963,330.85,2023-01-01 00:00:00,1
N_001540,N_000458,801.29,2023-01-01 00:00:00,0
N_000077,N_000896,3172.55,2023-01-01 01:00:00,0
N_000005,M_REC_000091,13.72,2023-01-01 01:00:00,1
N_000535,N_001568,552.68,2023-01-01 01:00:00,0
M_DOR_000569,N_001989,1000.0,2023-01-01 01:00:00,1
N_001611,N_000221,5000.0,2023-01-01 01:00:00,0
N_000344,N_001446,970.13,2023-01-01 01:00:00,0
M_DOR_000113,N_001985,1000.0,2023-01-01 01:00:00,1
N_001559,N_000446,1514.31,2023-01-01 01:00:00,0
N_001751,N_000473,147.3,2023-01-01 01:00:00,0
N_000491,N_001749,132.3,2023-01-01 01:00:00,0
N_000014,M_REC_000099,59.41,2023-01-01 02:00:00,1
N_000026,M_REC_000042,97.61,2023-01-01 02:00:00,1
M_DOR_000152,N_001966,71.03,2023-01-01 02:00:00,1
N_001689,N_001337,72.75,2023-01-01 02:00:00,0
N_001440,N_001343,702.21,2023-01-01 02:00:00,0
N_000234,N_001885,178.7,2023-01-01 03:00:00,0
N_001221,N_000589,1275.72,2023-01-01 03:00:00,0
N_000327,N_000304,1039.62,2023-01-01 03:00:00,0
M_DOR_000391,N_001957,79.5,2023-01-01 03:00:00,1
N_000022,M_REC_000028,144.12,2023-01-01 03:00:00,1
N_001019,N_001783,2854.12,2023-01-01 03:00:00,0
M_DOR_000473,N_001960,1000.0,2023-01-01 03:00:00,1
N_000399,N_000958,914.32,2023-01-01 03:00:00,0
N_000763,N_000690,5000.0,2023-01-01 03:00:00,0
N_001259,N_001120,72.02,2023-01-01 03:00:00,0
M_DOR_000451,N_001992,50.0,2023-01-01 03:00:00,1
M_DOR_000156,N_001961,880.81,2023-01-01 03:00:00,1
N_001239,N_001019,913.54,2023-01-01 03:00:00,0
N_000822,N_001629,5000.0,2023-01-01 04:00:00,0
N_000029,M_REC_000573,18.83,2023-01-01 04:00:00,1
M_DOR_000323,N_001967,1000.0,2023-01-01 04:00:00,1
N_000123,N_000977,926.55,2023-01-01 04:00:00,0
M_DOR_000051,N_001981,63.44,2023-01-01 04:00:00,1
M_DOR_000452,N_001971,1000.0,2023-01-01 04:00:00,1
N_000054,N_001620,4737.14,2023-01-01 04:00:00,0
N_001558,N_000919,676.26,2023-01-01 04:00:00,0
M_DOR_000392,N_001974,984.32,2023-01-01 04:00:00,1
M_DOR_000350,N_001961,294.98,2023-01-01 04:00:00,1
M_DOR_000136,N_001978,50.0,2023-01-01 05:00:00,1
M_DOR_000178,N_001953,125.76,2023-01-01 05:00:00,1
M_DOR_000224,N_001963,281.06,2023-01-01 05:00:00,1
M_DOR_000388,N_001956,1000.0,2023-01-01 05:00:00,1
N_000027,M_REC_000526,93.69,2023-01-01 05:00:00,1
N_000004,M_REC_000527,118.03,2023-01-01 05:00:00,1
M_DOR_000367,N_001959,141.85,2023-01-01 05:00:00,1
N_000216,N_001112,4046.47,2023-01-01 06:00:00,0
M_DOR_000301,N_001951,1000.0,2023-01-01 06:00:00,1
N_000015,M_REC_000441,20.26,2023-01-01 06:00:00,1
N_000190,N_000672,933.2,2023-01-01 06:00:00,0
N_001848,N_000673,2009.58,2023-01-01 06:00:00,0
N_000039,M_REC_000597,186.3,2023-01-01 06:00:00,1
M_DOR_000341,N_001976,799.27,2023-01-01 06:00:00,1
N_000080,N_001258,1464.45,2023-01-01 06:00:00,0
N_001507,N_001341,599.16,2023-01-01 06:00:00,0
M_DOR_000002,N_001977,423.49,2023-01-01 06:00:00,1
N_001935,N_001347,687.53,2023-01-01 07:00:00,0
M_DOR_000450,N_001950,1000.0,2023-01-01 07:00:00,1
N_000201,N_001283,921.27,2023-01-01 07:00:00,0
N_001554,N_000222,17.34,2023-01-01 07:00:00,0
M_DOR_000066,N_001963,1000.0,2023-01-01 07:00:00,1
N_001747,N_001919,1876.05,2023-01-01 07:00:00,0
N_001823,N_001496,299.95,2023-01-01 07:00:00,0
N_000542,N_001984,5000.0,2023-01-01 07:00:00,0
N_000850,N_000090,4754.21,2023-01-01 08:00:00,0
N_001126,N_001247,896.92,2023-01-01 08:00:00,0
N_000509,N_000422,92.82,2023-01-01 08:00:00,0
N_000291,N_001819,1422.79,2023-01-01 08:00:00,0
N_000000,M_REC_000335,168.38,2023-01-01 08:00:00,1
N_001860,N_001297,511.88,2023-01-01 08:00:00,0
M_DOR_000445,N_001998,50.0,2023-01-01 08:00:00,1
N_001547,N_000934,29.78,2023-01-01 08:00:00,0
N_001181,N_001509,618.55,2023-01-01 09:00:00,0
M_DOR_000173,N_001979,50.0,2023-01-01 09:00:00,1
N_000004,M_REC_000575,79.78,2023-01-01 09:00:00,1
N_001067,N_000233,529.94,2023-01-01 09:00:00,0
N_000553,N_000901,70.22,2023-01-01 09:00:00,0
N_000618,N_000909,1801.26,2023-01-01 09:00:00,0
M_DOR_000476,N_001969,211.07,2023-01-01 09:00:00,1
M_DOR_000373,N_001971,1000.0,2023-01-01 09:00:00,1
N_000468,N_001172,35.04,2023-01-01 09:00:00,0
N_000354,N_001301,44.79,2023-01-01 09:00:00,0
N_001489,N_000447,276.59,2023-01-01 09:00:00,0
M_DOR_000043,N_001989,1000.0,2023-01-01 09:00:00,1
N_001076,N_001980,22.32,2023-01-01 09:00:00,0
N_000205,N_001660,20.64,2023-01-01 10:00:00,0
N_000005,M_REC_000295,126.03,2023-01-01 10:00:00,1
N_000506,N_000000,2823.49,2023-01-01 10:00:00,0
N_001606,N_001482,5000.0,2023-01-01 10:00:00,0
M_DOR_000078,N_001972,50.0,2023-01-01 10:00:00,1
N_000552,N_001175,43.25,2023-01-01 10:00:00,0
N_001532,N_001545,586.88,2023-01-01 10:00:00,0
M_DOR_000402,N_001997,50.0,2023-01-01 11:00:00,1
N_000769,N_001889,5000.0,2023-01-01 11:00:00,0
M_DOR_000275,N_001968,184.08,2023-01-01 11:00:00,1
N_001648,N_000983,504.73,2023-01-01 11:00:00,0
N_001126,N_001453,215.48,2023-01-01 11:00:00,0
M_DOR_000091,N_001977,164.65,2023-01-01 11:00:00,1
M_DOR_000087,N_001996,1000.0,2023-01-01 11:00:00,1
N_001414,N_001127,389.36,2023-01-01 11:00:00,0
N_000464,N_001392,5000.0,2023-01-01 12:00:00,0
M_DOR_000363,N_001962,179.52,2023-01-01 12:00:00,1
N_000010,M_REC_000593,37.86,2023-01-01 12:00:00,1
N_001754,N_000638,186.42,2023-01-01 12:00:00,0
N_000489,N_000813,207.54,2023-01-01 13:00:00,0
N_000111,N_000738,2786.11,2023-01-01 13:00:00,0
M_DOR_000196,N_001952,174.01,2023-01-01 13:00:00,1
M_DOR_000090,N_001971,319.88,2023-01-01 13:00:00,1
N_000334,N_001987,20.02,2023-01-01 13:00:00,0
M_DOR_000069,N_001954,1000.0,2023-01-01 13:00:00,1
N_001832,N_001508,2087.89,2023-01-01 13:00:00,0
M_DOR_000321,N_001968,616.99,2023-01-01 13:00:00,1
N_000047,M_REC_000009,142.09,2023-01-01 13:00:00,1
N_000100,N_000516,3498.35,2023-01-01 13:00:00,0
M_DOR_000168,N_001985,479.36,2023-01-01 14:00:00,1
N_000861,N_000989,4052.49,2023-01-01 14:00:00,0
N_000538,N_001066,1883.11,2023-01-01 14:00:00,0
N_000187,N_001811,786.99,2023-01-01 14:00:00,0
N_001286,N_001915,3741.28,2023-01-01 14:00:00,0
M_DOR_000037,N_001952,1000.0,2023-01-01 14:00:00,1
N_001026,N_000666,1697.83,2023-01-01 14:00:00,0
N_001858,N_001074,1445.95,2023-01-01 14:00:00,0
N_000260,N_000045,47.3,2023-01-01 15:00:00,0
N_001112,N_001221,617.57,2023-01-01 15:00:00,0
N_001909,N_001477,609.9,2023-01-01 15:00:00,0
M_DOR_000162,N_001989,283.09,2023-01-01 15:00:00,1
M_DOR_000046,N_001956,1000.0,2023-01-01 15:00:00,1
M_DOR_000057,N_001959,673.93,2023-01-01 15:00:00,1
N_000600,N_001997,2535.25,2023-01-01 15:00:00,0
M_DOR_000068,N_001987,172.55,2023-01-01 15:00:00,1
N_000311,N_000105,1540.23,2023-01-01 15:00:00,0
N_000773,N_000192,2469.83,2023-01-01 16:00:00,0
M_DOR_000143,N_001969,450.09,2023-01-01 16:00:00,1
N_000027,M_REC_000402,194.49,2023-01-01 16:00:00,1
N_000006,M_REC_000294,80.49,2023-01-01 16:00:00,1
N_000195,N_000345,677.92,2023-01-01 16:00:00,0
N_000826,N_001876,902.95,2023-01-01 16:00:00,0
N_000927,N_001480,4088.07,2023-01-01 16:00:00,0
M_DOR_000443,N_001984,969.42,2023-01-01 16:00:00,1
M_DOR_000283,N_001966,126.32,2023-01-01 17:00:00,1
N_000031,M_REC_000232,188.87,2023-01-01 17:00:00,1
N_000044,M_REC_000251,43.6,2023-01-01 17:00:00,1
M_DOR_000528,N_001989,50.0,2023-01-01 17:00:00,1
N_000044,N_001151,5000.0,2023-01-01 17:00:00,0
N_000148,N_000594,255.62,2023-01-01 17:00:00,0
M_DOR_000223,N_001956,995.61,2023-01-01 17:00:00,1
M_DOR_000561,N_001986,1000.0,2023-01-01 18:00:00,1
N_001782,N_000108,5000.0,2023-01-01 18:00:00,0
N_001289,N_000795,98.73,2023-01-01 18:00:00,0
N_000348,N_001056,2501.96,2023-01-01 18:00:00,0
N_000022,M_REC_000223,98.47,2023-01-01 18:00:00,1
N_000283,N_000213,834.44,2023-01-01 18:00:00,0
N_001277,N_001990,5000.0,2023-01-01 18:00:00,0
N_000696,N_001026,1814.04,2023-01-01 19:00:00,0
M_DOR_000554,N_001989,1000.0,2023-01-01 19:00:00,1
N_000026,M_REC_000179,196.22,2023-01-01 19:00:00,1
N_001466,N_000037,184.64,2023-01-01 19:00:00,0
N_000040,M_REC_000450,30.46,2023-01-01 19:00:00,1
N_000494,N_001988,475.58,2023-01-01 19:00:00,0
M_DOR_000245,N_001964,337.66,2023-01-01 19:00:00,1
M_DOR_000083,N_001967,689.08,2023-01-01 19:00:00,1
M_DOR_000418,N_001991,214.76,2023-01-01 19:00:00,1
M_DOR_000106,N_001965,1000.0,2023-01-01 19:00:00,1
M_DOR_000483,N_001954,676.38,2023-01-01 19:00:00,1
N_001966,N_000415,273.92,2023-01-01 19:00:00,0
N_001323,N_001888,5000.0,2023-01-01 19:00:00,0
N_000049,M_REC_000146,50.25,2023-01-01 19:00:00,1
M_DOR_000351,N_001963,172.82,2023-01-01 20:00:00,1
N_000449,N_001884,64.82,2023-01-01 20:00:00,0
M_DOR_000153,N_001978,1000.0,2023-01-01 20:00:00,1
N_000751,N_000929,97.9,2023-01-01 20:00:00,0
M_DOR_000195,N_001995,1000.0,2023-01-01 20:00:00,1
N_001352,N_000384,2049.56,2023-01-01 20:00:00,0
N_001970,N_000778,102.12,2023-01-01 20:00:00,0
M_DOR_000552,N_001979,1000.0,2023-01-01 20:00:00,1
N_001412,N_000917,181.3,2023-01-01 20:00:00,0
N_000030,M_REC_000095,95.89,2023-01-01 20:00:00,1
N_000029,M_REC_000018,113.73,2023-01-01 20:00:00,1
N_001130,N_000387,3958.15,2023-01-01 20:00:00,0
M_DOR_000076,N_001965,270.89,2023-01-01 20:00:00,1
N_001463,N_000821,589.03,2023-01-01 20:00:00,0
M_DOR_000402,N_001955,1000.0,2023-01-01 20:00:00,1
M_DOR_000133,N_001984,1000.0,2023-01-01 21:00:00,1
N_001771,N_001053,5000.0,2023-01-01 21:00:00,0
M_DOR_000029,N_001967,1000.0,2023-01-01 21:00:00,1
M_DOR_000585,N_001979,447.49,2023-01-01 21:00:00,1
M_DOR_000425,N_001976,50.0,2023-01-01 21:00:00,1
M_DOR_000272,N_001985,150.45,2023-01-01 21:00:00,1
N_000087,N_000378,510.06,2023-01-01 21:00:00,0
N_000755,N_001820,1040.35,2023-01-01 21:00:00,0
N_000810,N_000403,5000.0,2023-01-01 21:00:00,0
N_000004,M_REC_000288,123.41,2023-01-01 21:00:00,1
N_001227,N_000100,87.3,2023-01-01 21:00:00,0
N_001868,N_001077,185.29,2023-01-01 21:00:00,0
M_DOR_000501,N_001997,103.5,2023-01-01 21:00:00,1
N_000619,N_001753,2983.03,2023-01-01 21:00:00,0
M_DOR_000522,N_001993,308.38,2023-01-01 21:00:00,1
M_DOR_000502,N_001961,158.37,2023-01-01 21:00:00,1
N_001192,N_001382,386.35,2023-01-01 21:00:00,0
N_001372,N_000853,58.46,2023-01-01 22:00:00,0
N_000436,N_000851,1527.16,2023-01-01 22:00:00,0
N_000047,M_REC_000035,27.64,2023-01-01 22:00:00,1
N_000260,N_000363,88.15,2023-01-01 22:00:00,0
N_000280,N_000709,74.03,2023-01-01 22:00:00,0
N_000649,N_001987,5000.0,2023-01-01 22:00:00,0
M_DOR_000441,N_001972,1000.0,2023-01-01 22:00:00,1
M_DOR_000424,N_001959,1000.0,2023-01-01 22:00:00,1
N_001515,N_001507,312.24,2023-01-01 22:00:00,0
N_000542,N_000436,174.72,2023-01-01 23:00:00,0
N_000323,N_000929,3192.54,2023-01-01 23:00:00,0
M_DOR_000162,N_001982,883.05,2023-01-02 00:00:00,1
N_000643,N_000230,5000.0,2023-01-02 00:00:00,0
N_000047,M_EXT_000522,811.89,2023-01-02 00:00:00,1
N_000025,M_EXT_000309,314.46,2023-01-02 00:00:00,1
N_000044,M_EXT_000094,199.12,2023-01-02 00:00:00,1
N_000021,M_EXT_000313,207.54,2023-01-02 00:00:00,1
N_000010,M_EXT_000136,497.8,2023-01-02 00:00:00,1
N_000017,M_EXT_000172,1504.45,2023-01-02 00:00:00,1
N_000002,M_EXT_000164,202.85,2023-01-02 00:00:00,1
N_000017,M_EXT_000262,2000.0,2023-01-02 00:00:00,1
N_001520,N_001099,1242.86,2023-01-02 00:00:00,0
N_000015,M_EXT_000098,2000.0,2023-01-02 00:00:00,1
N_000000,M_EXT_000535,2000.0,2023-01-02 00:00:00,1
N_000032,M_EXT_000137,2000.0,2023-01-02 00:00:00,1
N_000005,M_EXT_000363,100.0,2023-01-02 00:00:00,1
