account,lifecycle_stage,risk_level
C1000036340,Activation,3
C1000086512,Activation,3
C1000331499,Activation,3
C1000484178,Activation,3
C1000513158,Activation,3
C1000937208,Activation,3
C1001502110,Activation,3
C1001765380,Activation,3
C1001875185,Activation,3
C1002446735,Activation,3
C1002859898,Activation,3
C1002895272,Activation,3
C1003023037,Activation,3
C1003377863,Activation,3
C1003695704,Activation,3
C1003741197,Activation,3
C1004068843,Activation,3
C1004271827,Activation,3
C1004336210,Activation,3
C1005007866,Activation,3
C1005458940,Activation,3
C1005866728,Activation,3
C1006058561,Activation,3
C1006070662,Activation,3
C1007207376,Activation,3
C1007340530,Activation,3
C1008040846,Activation,3
C1008719694,Activation,3
C1009032350,Activation,3
C1009233877,Activation,3
C1010063091,Activation,3
C1010536295,Activation,3
C1010973952,Activation,3
C1011158272,Activation,3
C1011490419,Activation,3
C1011516202,Activation,3
C1011665365,Activation,3
C1011829657,Activation,3
C1012053866,Activation,3
C1012201968,Activation,3
C1012366293,Activation,3
C1012580160,Activation,3
C1012580220,Activation,3
C1012799951,Activation,3
C1013069669,Activation,3
C1013101723,Activation,3
C1013220847,Activation,3
C1013288403,Activation,3
C1013385845,Activation,3
C1013419575,Activation,3
C101371414,Activation,3
C1014000122,Activation,3
C1014077257,Activation,3
C1014298205,Activation,3
C1014449898,Activation,3
C1014484059,Activation,3
C101455775,Activation,3
C1014836767,Activation,3
C1015599837,Activation,3
C1015615322,Activation,3
C1015856166,Activation,3
C1015989725,Activation,3
C1016160383,Activation,3
C1016323653,Activation,3
C1016521533,Activation,3
C1016616731,Activation,3
C1016626170,Activation,3
C101677237,Activation,3
C1016889565,Activation,3
C1016892734,Activation,3
C1017446599,Activation,3
C1018357975,Activation,3
C1018686396,Activation,3
C1018733794,Activation,3
C101899927,Activation,3
C1019069883,Activation,3
C1019233817,Activation,3
C1019329213,Activation,3
C1019433665,Activation,3
C1019553772,Activation,3
C1019916893,Activation,3
C1019966301,Activation,3
C1020268899,Activation,3
C1020461364,Activation,3
C1020546526,Activation,3
C1020706862,Activation,3
C1020800306,Activation,3
C1020850249,Activation,3
C1021093618,Activation,3
C1021314422,Activation,3
C1021520214,Activation,3
C1021627549,Activation,3
C1021806883,Activation,3
C1022326247,Activation,3
C1022427332,Activation,3
C1022475357,Activation,3
C1022498421,Activation,3
C1022920965,Activation,3
C1023266164,Activation,3
C1023402674,Activation,3
C1023505879,Activation,3
C1023551084,Activation,3
C1023699777,Activation,3
C1023831762,Activation,3
C1024321064,Activation,3
C1024427567,Activation,3
C1024969195,Activation,3
C1025024603,Activation,3
C1025414577,Activation,3
C1025625307,Activation,3
C1025875217,Activation,3
C1025957103,Activation,3
C1026095459,Activation,3
C1026137221,Activation,3
C102617052,Activation,3
C1026263737,Activation,3
C1026280121,Activation,3
C1026774960,Activation,3
C1027432342,Activation,3
C1027606228,Activation,3
C1027828118,Activation,3
C1027836426,Activation,3
C1027885522,Activation,3
C1028321067,Activation,3
C1028433606,Activation,3
C1028530067,Activation,3
C1028599135,Activation,3
C1028741158,Activation,3
C1029198062,Activation,3
C1029257629,Activation,3
C1029506944,Activation,3
C1029645120,Activation,3
C10297666,Activation,3
C1029932653,Activation,3
C103076793,Activation,3
C103081762,Activation,3
C1031966846,Activation,3
C1032013375,Activation,3
C1032127043,Activation,3
C1032151084,Activation,3
C103236252,Activation,3
C1032400193,Activation,3
C1032527042,Activation,3
C1032891419,Activation,3
C1032918138,Activation,3
C1033091830,Activation,3
C1033117475,Activation,3
C1033290326,Activation,3
C1033789899,Activation,3
C1034067842,Activation,3
C1034219836,Activation,3
C1034306839,Activation,3
C1034326935,Activation,3
C1034418491,Activation,3
C1034673425,Activation,3
C1034868972,Activation,3
C1035275557,Activation,3
C1035541766,Activation,3
C103568596,Activation,3
C1036084713,Activation,3
C1036572575,Activation,3
C1036579486,Activation,3
C1036592129,Activation,3
C1036650085,Activation,3
C1037004570,Activation,3
C103717157,Activation,3
C1037819437,Activation,3
C103861454,Activation,3
C1038719684,Activation,3
C1038764620,Activation,3
C1039450195,Activation,3
C1039668554,Activation,3
C1039891737,Activation,3
C1039970092,Activation,3
C1039979813,Activation,3
C1040108506,Activation,3
C1040320190,Activation,3
C1041060645,Activation,3
C1041263133,Activation,3
C104137128,Activation,3
C1041938819,Activation,3
C1042329949,Activation,3
