,gnn_proba
C1000004940,1.8689814e-05
C1000036340,0.99999416
C1000037068,0.0026230558
C1000039615,1.0
C1000051931,0.0025924302
C1000067836,1.8420831e-05
C1000075512,0.004424073
C1000086512,0.9999987
C1000095132,1.2473768e-05
C1000104864,1.4744126e-05
C1000105362,9.823646e-05
C1000109635,0.0057168794
C1000113023,4.379255e-05
C1000114621,0.0049594254
C1000117431,0.007063267
C1000124012,1.7958017e-05
C1000130674,0.0040336363
C1000142661,0.0045063687
C1000155349,0.0045012375
C1000157415,5.364279e-05
C1000198199,0.0025509559
C1000217929,0.0025433374
C1000219612,1.859894e-05
C1000229380,0.0038028627
C1000242744,1.9072631e-05
C10002438,0.00013676965
C1000244012,4.5665947e-05
C100024863,0.0001240594
C100028684,1.2489361e-05
C1000303171,0.0035554206
C1000310140,1.4461286e-05
C1000311965,0.0034362662
C1000314808,1.326148e-05
C100032114,2.0246458e-05
C1000331499,0.9999987
C1000331691,0.000109872366
C1000351574,1.3052335e-05
C1000363311,5.325262e-05
C1000367306,1.0
C1000374016,1.309656e-05
C1000389324,4.6243757e-05
C1000391286,0.0031507458
C1000400613,0.0045509804
C1000406691,2.1615202e-05
C1000407130,1.0
C1000416847,4.981063e-05
C1000427141,0.0034647665
C1000430395,1.5510817e-05
C1000446646,0.0035414733
C1000469224,2.41309e-05
C1000469870,0.00029742572
C1000474463,4.738312e-05
C1000484178,0.9999999
C1000490209,0.005507425
C1000492285,0.0030375693
C1000498427,0.0062585897
C1000509257,0.00012043068
C1000511083,0.0034876608
C1000513158,0.9999927
C1000516727,0.0030126786
C1000520289,0.0025483319
C1000527360,1.3782557e-05
C1000536228,0.00715438
C1000542694,0.0024928355
C1000574865,1.2719158e-05
C1000582206,4.819043e-05
C1000582957,0.0034862212
C1000583260,0.00077203783
C100060107,0.004394532
C1000610515,4.2843378e-05
C1000622818,0.0045411773
C1000623681,2.4111876e-05
C1000627089,0.0044045015
C1000649398,1.2749944e-05
C1000660822,1.9472256e-05
C1000663541,0.0051009213
C1000664529,0.004079449
C100069996,0.0047066854
C1000711580,0.0025136792
C100072555,0.0057090623
C1000748143,0.0034700509
C1000751085,0.003456804
C1000751413,0.0034700127
C1000752392,0.0025126534
C1000760713,0.004523087
C100079527,1.2279868e-05
C100079859,0.0025415344
C1000817889,1.8456052e-05
C1000836187,1.0
C1000836905,1.846716e-05
C1000840969,0.0025251782
C1000841133,0.00023850237
C1000844371,1.9635778e-05
C1000847942,1.2714974e-05
C1000851559,0.0025890025
C100085531,2.4523451e-05
C1000855680,1.0
C1000862229,1.3622119e-05
C1000868784,1.0
C1000869292,1.9942538e-05
C1000877149,0.0025727346
C1000886013,4.6547495e-05
C1000886344,4.741557e-05
C1000888368,1.93117e-05
C1000890636,0.0045477734
C1000891572,2.0315721e-05
C1000897951,0.0035389182
C1000902358,1.3434445e-05
C1000907043,0.0055547985
C1000909769,2.0004614e-05
C1000927730,1.2835893e-05
C1000937208,0.999998
C100094375,1.8702527e-05
C1000949406,1.221494e-05
C1000951644,1.391022e-05
C1000966905,5.6408462e-05
C1000992206,0.0025242572
C1000993833,2.4096682e-05
C1000999034,2.4444671e-05
C1001020914,0.0034566412
C1001030333,2.8166305e-05
C1001052959,0.0035529074
C1001060550,1.9485782e-05
C1001111035,0.00613754
C100111146,0.003049119
C1001119324,1.2915216e-05
C100112661,1.3325538e-05
C1001152046,2.1266484e-05
C1001154963,2.11761e-05
C100116883,0.00016831218
C1001175213,1.801031e-05
C1001217510,2.6030013e-05
C1001220052,0.003634066
C1001227463,0.0034469555
C1001234906,0.0034510463
C1001241510,0.0035455632
C1001251791,0.0034886852
C1001258143,1.0
C1001270528,0.0030729794
C1001286108,0.0035027675
C1001309617,1.3749436e-05
C1001353581,0.00010416286
C1001366059,1.3520019e-05
C1001367899,1.4627408e-05
C1001375981,1.263293e-05
C1001382120,1.8652654e-05
C1001382840,0.0005784456
C1001391530,1.3049137e-05
C1001392610,1.8452954e-05
C1001395031,0.0048595057
C1001409363,5.0764582e-05
C100142135,0.003520214
C1001427297,0.0034569288
C1001432435,0.0035092065
C1001433273,0.005380905
C1001433990,0.0025235177
C1001434972,0.0025114182
C1001445441,0.0025421097
C1001449890,0.00034121878
C1001454848,1.2938009e-05
C100145780,1.783653e-05
C100145894,0.0030310971
C100149087,4.4283566e-05
C100150202,1.4788049e-05
C1001502110,0.99999535
C1001509261,0.0034936934
C1001519683,0.0030382222
C1001571869,0.0030466516
C1001576512,0.003457259
C1001595798,0.0035074942
C1001599284,0.0034408334
C1001608264,0.0040794336
C1001611622,0.00016158076
C1001619347,1.4817426e-05
C1001621660,0.005065636
C1001625098,1.966398e-05
C1001637007,0.0025946428
C1001658373,0.005686673
C1001664465,1.0
C1001678350,0.004725966
C100167875,4.5108132e-05
C1001692139,0.0025276896
C1001697105,1.2206766e-05
C1001702847,0.0030773133
C1001714194,0.0025260097
C1001735603,2.101478e-05
C1001755781,4.099184e-05
C1001765380,0.9999989
C1001771172,1.2779148e-05
C1001771495,0.004123894
C1001777242,1.3473667e-05
C1001791449,0.0030812055
C1001793881,6.012254e-05
C1001808495,0.0035276348
C1001813492,0.0034591835
C1001823340,1.3165108e-05
C1001826040,0.0036295166
C1001831525,4.473245e-05
C1001846601,0.0064093275
C1001848209,0.0072354013
C100185326,0.0035161346
C1001875185,0.9999995
C1001879903,0.0045038066
C1001884153,0.0035074495
C1001907366,1.979565e-05
C1001930345,0.003468638
C1001943483,0.0035300292
C1001950121,2.0827394e-05
C100196193,0.00044175395
C1001962332,0.003540469
C1001962456,0.0046122596
C1001973726,0.003130769
C1001992143,0.004109635
C1001998610,0.0061480687
C1001998654,5.6804893e-05
C1002004721,0.0034933663
C1002031210,0.004553952
C1002031476,2.696529e-05
C1002031672,1.0
C1002044258,1.3580857e-05
C1002054549,1.2176501e-05
C1002055980,0.008285021
C1002057900,0.00013968322
C1002076700,1.8600571e-05
C1002088391,0.0025497018
C1002088829,4.1787458e-05
C1002113031,0.0034521255
C1002124195,0.0035581447
C1002129834,2.0225309e-05
C1002151702,1.0
C1002162231,0.0035164424
C1002173670,0.0035279535
C1002178084,0.0047217784
C1002183297,1.0
C1002233012,1.0
C1002247150,1.8087509e-05
C1002264531,2.011835e-05
C1002275946,2.448319e-05
C1002316977,0.0031119094
C1002319100,0.0025050286
C100232137,0.004648213
C1002334358,0.003528391
C1002335651,1.5622616e-05
C1002345753,0.0005316158
C1002346407,0.003598014
C1002361204,0.00025750927
C1002362253,1.4111431e-05
C100237269,0.0034899272
C1002376498,0.004372295
C1002378800,0.0044523813
C1002380364,1.3560137e-05
C1002391175,1.899804e-05
C1002407179,1.2479146e-05
C1002415813,4.6558765e-05
C100243332,0.0025385064
C1002436934,0.0035106207
C1002438896,3.0155159e-05
C1002445314,0.0034518468
C1002446735,0.9999949
C1002454874,1.0
C1002461474,0.0025646703
C1002469377,1.8356262e-05
C1002469873,1.0
C1002471100,0.002505965
C1002477155,0.0036779149
C1002483075,0.0044749305
C1002494617,1.8113333e-05
C1002497793,1.3389729e-05
C1002522957,0.003694657
C1002522988,0.0030477294
C1002523949,0.004605369
C1002525040,1.2175421e-05
C1002525585,1.9490111e-05
C100252680,0.0030482856
C100252982,0.0035516717
C1002530793,1.3393318e-05
C1002537290,0.005120599
C1002538556,1.0
C1002545847,0.00013301022
C1002554105,0.0043720235
C1002564127,0.0025731234
C1002578524,1.2981874e-05
C1002607613,2.0669358e-05
C1002624074,0.004049672
C1002633008,0.0040486543
C1002636296,2.0086893e-05
C1002638409,0.0025376517
C1002644838,0.004118295
C1002647770,1.9650877e-05
C1002648859,0.0035084214
C1002655693,0.0035220843
C1002661778,0.0034684234
C1002671829,0.0054483935
C1002685737,1.3392883e-05
C100269295,0.0025299594
C1002742642,0.0035405345
C1002746375,2.8775776e-05
C1002759370,0.0054964013
C1002776725,1.390839e-05
C1002780834,0.0024942718
C1002790083,0.00043977622
C100280556,0.0041015046
C1002820172,0.0034769203
C1002826633,1.8597344e-05
C1002828131,0.0034861034
C1002859898,0.99999535
C1002868744,5.037767e-05
C1002895272,0.9999925
C1002914904,0.0025319085
C1002939134,1.0
C1002939140,0.002584632
C1002952732,1.0
C1002952859,0.002520285
C1002969435,0.0065992367
C1003023037,0.9999988
C1003023264,0.00011446111
C1003025234,0.0024874464
C100303560,0.0036985413
C1003046085,0.0034583875
C1003055823,5.2011655e-05
C1003056548,0.003556586
C1003058651,0.0035043075
C1003064070,4.532779e-05
C1003067344,2.1651944e-05
C1003121465,4.3471493e-05
C1003122144,1.2619553e-05
C1003126363,0.0034653414
C1003142967,0.00010254373
C1003144549,4.6372665e-05
C1003151239,2.074596e-05
C1003162071,0.0062055932
C1003185765,0.0035564646
C1003190731,0.004419014
C1003201647,2.117921e-05
C100321458,0.0025016873
C1003214656,0.0035362171
C1003240711,0.009863972
C1003242264,4.5448814e-05
